nouns,noun_tag,verbs,verb_tag,adjectives,adjective_tag,adverbs,adverb_tag,pronouns,pronoun_tag,prepositions,preposition_tag,determiners,determiner_tag,conjunctions,conjunction_tag,numerals,numeral_tag,modals,modal_tag,interjections,interjection_tag,tos,to_tag,wh_determiners,wh_determiner_tag,wh_pronouns,wh_pronoun_tag
Society,NN,Barricaded,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Fake,NNP,Keep,VB,,,,,,,,,,,,,,,,,,,,,,,,
Makin,NNP,Pay,VB,,,,,,,,,,,,,,,,,,,,,,,,
Sneak,NNP,Love,VB,,,,,,,,,,,,,,,,,,,,,,,,
Resuscitation,NN,Walked,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Are,NNP,Flying,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Lil,NNP,Be,VB,,,,,,,,,,,,,,,,,,,,,,,,
Visions,NNS,Dropped,VBD,,,,,,,,,,,,,,,,,,,,,,,,
Mass,NNP,Rush,VB,,,,,,,,,,,,,,,,,,,,,,,,
Blacks,NNS,Respect,VB,,,,,,,,,,,,,,,,,,,,,,,,
Aye,NNP,Told,VBD,,,,,,,,,,,,,,,,,,,,,,,,
Step,NN,Prophesize,VB,,,,,,,,,,,,,,,,,,,,,,,,
Schemin,NNP,Wrestling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Mood,NNP,Serving,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Revertin,NNP,Looking,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Loyalty,NNP,Perfected,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Lovin,NNP,Gather,VB,,,,,,,,,,,,,,,,,,,,,,,,
Today,NN,Have,VBP,,,,,,,,,,,,,,,,,,,,,,,,
Great,NNP,Emerging,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm,NNP,Throw,VB,,,,,,,,,,,,,,,,,,,,,,,,
Please,NNP,Lift,VB,,,,,,,,,,,,,,,,,,,,,,,,
Mike,NNP,Worried,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Apple,NNP,Bitch,VB,,,,,,,,,,,,,,,,,,,,,,,,
Burnin,NNP,Hating,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Conversation,NN,Welcome,VB,,,,,,,,,,,,,,,,,,,,,,,,
Wan,NNP,Do,VB,,,,,,,,,,,,,,,,,,,,,,,,
Bitch,NNP,Describing,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Levitate,NNP,Whistling,VBG,,,,,,,,,,,,,,,,,,,,,,,,
Projects,NNS,Happened,VBN,,,,,,,,,,,,,,,,,,,,,,,,
Kunta,NNP,Spent,VB,,,,,,,,,,,,,,,,,,,,,,,,
Block,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hail,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Thinkin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Limo,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Equity,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Head,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Calm,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Get,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Truth,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridges,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Wouldn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dammit,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Slide,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
G,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Auntie,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Til,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentence,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Watchin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Drown,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Situations,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Trapped,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Complexion,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Couple,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Janky,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Aha,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
People,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Tracklist,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Everyone,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Uhh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Church,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Screamin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Touch,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Kung,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
El,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Mufucka,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Amen,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Find,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Arghh,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Enforcin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Reciprocation,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Remember,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
AKs,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Laughs,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Squad,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Won,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Realness,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleepin,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Stand,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Donald,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Bougie,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fellowship,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Ib,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Feelin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Roll,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Don,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Shots,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Goddamn,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Homies,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Poppin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Did,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Discounts,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
D,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Park,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Smokin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Come,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Life,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyin,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Niggas,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Me,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Celery,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuck,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Am,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Alls,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Feel,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause,NN,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasites,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Consequences,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,
Grab,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,
